time,magnitude
361222.3511,1
361225.1391,1
361230.9643,1
361264.1769,1
361267.7702,1
361274.2662,1
361279.0057,1
361281.2585,1
361287.1016,1
361318.985,1
361368.1979,1
361378.3067,1
361389.2961,1
361404.5949,1
361418.5893,1
361429.7717,1
361435.8941,1
361446.7397,1
361468.8085,1
361481.9649,1
361496.2507,1
361503.9871,1
361538.7464,1
361544.7332,1
361546.7737,1
361572.5702,1
361627.9109,1
361634.839,1
361652.8071,1
361660.2573,1
361662.4503,1
361665.8069,1
361720.0561,1
361726.3854,1
361754.394,1
361756.8579,1
361775.3623,1
361776.428,1
361822.947,1
361823.3015,1
361828.8483,1
361856.9415,1
361869.4546,1
361874.9718,1
361885.7548,1
361893.481,1
361908.4731,1
361923.5471,1
361928.0303,1
361937.9324,1
361938.8915,1
361949.6443,1
361951.577,1
361955.8867,1
361972.0514,1
361983.8716,1
361992.7957,1
361995.8422,1
362007.7722,1
362021.7968,1
362026.4944,1
362040.2931,1
362042.2006,1
362057.196,1
362063.5546,1
362066.5311,1
362067.2668,1
362079.0286,1
362079.5667,1
362079.9206,1
362101.7276,1
362110.1995,1
362119.6609,1
362130.8638,1
362149.1855,1
362154.3191,1
362174.2938,1
362178.325,1
362210.3981,1
362240.7728,1
362246.6687,1
362246.7094,1
362247.1387,1
362250.2322,1
362251.0339,1
362255.2762,1
362263.7399,1
362289.0562,1
362298.1479,1
362352.2574,1
362359.0325,1
362369.5575,1
362371.5015,1
362373.4701,1
362375.7995,1
362380.2743,1
362384.9152,1
362401.6293,1
362416.8338,1
362418.5183,1
362429.1963,1
362468.151,1
362469.6311,1
362500.185,1
362552.351,1
362560.6827,1
362561.1719,1
362585.7101,1
362587.6191,1
362595.3724,1
362623.962,1
362627.6055,1
362634.7528,1
362646.7411,1
362647.4801,1
362657.9847,1
362658.3815,1
362670.4046,1
362680.9125,1
362715.4359,1
362715.9633,1
362723.6544,1
362741.3827,1
362759.6937,1
362801.249,1
362801.5616,1
362804.7175,1
362810.7542,1
362811.5805,1
362832.6946,1
362863.2992,1
362876.1931,1
362899.7743,1
362900.334,1
362910.9088,1
362918.7206,1
362926.4917,1
362928.0853,1
362928.0943,1
362934.3225,1
362937.211,1
362937.6114,1
362954.8984,1
362955.2684,1
362964.5012,1
362972.2075,1
362973.7296,1
362992.4452,1
362999.2455,1
